"Title"	"Year"	"Genres"	"Language"	"Country"	"Content Rating"	"Duration"	"Aspect Ratio"	"Budget"	"Gross Earnings"	"Director"	"Actor 1"	"Actor 2"	"Actor 3"	"Facebook Likes - Director"	"Facebook Likes - Actor 1"	"Facebook Likes - Actor 2"	"Facebook Likes - Actor 3"	"Facebook Likes - cast Total"	"Facebook likes - Movie"	"Facenumber in posters"	"User Votes"	"Reviews by Users"	"Reviews by Crtiics"	"IMDB Score"
"127 Hours "	2010	"Adventure|Biography|Drama|Thriller"	"English"	"USA"	"R"	94	1.85	1.8e+07	18329466	"Danny Boyle"	"James Franco"	"Treat Williams"	"Kate Burton"	0	11000	642	223	11984	63000	0	279179	440	450	7.6
"3 Backyards "	2010	"Drama"	"English"	"USA"	"R"	88	NA	3e+05	NA	"Eric Mendelsohn"	"Embeth Davidtz"	"Edie Falco"	"Kathryn Erbe"	5	795	659	301	1884	92	0	554	23	20	5.2
"3 "	2010	"Comedy|Drama|Romance"	"German"	"Germany"	"Unrated"	119	2.35	NA	59774	"Tom Tykwer"	"Devid Striesow"	"Sebastian Schipper"	"Sophie Rois"	670	24	20	9	69	2000	0	4212	18	76	6.8
"8: The Mormon Proposition "	2010	"Documentary"	"English"	"USA"	"R"	80	1.78	2500000	99851	"Reed Cowan"	"Dustin Lance Black"	"Emily Pearson"	"Gavin Newsom"	0	191	12	5	210	0	0	1138	30	28	7.1
"A Turtle's Tale: Sammy's Adventures "	2010	"Adventure|Animation|Family"	"English"	"France"	"PG"	88	2.35	NA	NA	"Ben Stassen"	"Ed Begley Jr."	"Jenny McCarthy"	"Stacy Keach"	4	783	749	602	3874	0	2	5385	22	56	6.1
"Alice in Wonderland "	2010	"Adventure|Family|Fantasy"	"English"	"USA"	"PG"	108	1.85	2e+08	334185206	"Tim Burton"	"Johnny Depp"	"Alan Rickman"	"Anne Hathaway"	13000	40000	25000	11000	79957	24000	0	306320	736	451	6.5
"Alice in Wonderland "	2010	"Adventure|Family|Fantasy"	"English"	"USA"	"PG"	108	1.85	2e+08	334185206	"Tim Burton"	"Johnny Depp"	"Alan Rickman"	"Anne Hathaway"	13000	40000	25000	11000	79957	24000	0	306336	736	451	6.5
"All Good Things "	2010	"Crime|Drama|Mystery|Romance|Thriller"	"English"	"USA"	"R"	101	1.85	NA	578382	"Andrew Jarecki"	"Ryan Gosling"	"Kirsten Dunst"	"Frank Langella"	46	33000	4000	902	39515	0	2	41249	67	140	6.3
"Alpha and Omega "	2010	"Adventure|Animation|Comedy|Family|Romance"	"English"	"USA"	"PG"	90	1.85	2e+07	25077977	"Anthony Bell"	"Kevin Sussman"	"Larry Miller"	"Christine Lakin"	0	681	611	518	2486	0	0	10986	84	84	5.3
"Amigo "	2010	"Drama|War"	"English"	"USA"	"R"	124	NA	1700000	183490	"John Sayles"	"Brian Lee Franklin"	"John Arcilla"	"Ronnie Lazaro"	407	38	8	7	60	594	0	463	8	35	5.8
"Anderson's Cross "	2010	"Comedy|Drama|Romance"	"English"	"USA"	"R"	98	NA	3e+05	NA	"Jerome Elston Scott"	"Taran Killam"	"Joanna Cassidy"	"Ryan Carnes"	3	500	317	248	1545	7	7	95	7	8	7.2
"Animals United "	2010	"Animation|Comedy|Family"	"German"	"Germany"	"PG"	93	2.39	NA	NA	"Reinhard Klooss"	"Jim Broadbent"	"Vanessa Redgrave"	"James Corden"	7	1000	898	480	3095	885	0	4599	44	36	4.9
"Another Year "	2010	"Comedy|Drama"	"English"	"UK"	"PG-13"	129	2.35	1e+07	3205244	"Mike Leigh"	"Jim Broadbent"	"Imelda Staunton"	"Phil Davis"	608	1000	579	386	2265	0	0	23629	141	248	7.3
"Barney's Version "	2010	"Comedy|Drama"	"English"	"Canada"	"R"	134	2.35	NA	7501404	"Richard J. Lewis"	"Mark Addy"	"Atom Egoyan"	"Paul Gross"	12	891	460	329	1873	0	2	21086	87	193	7.3
"Barry Munday "	2010	"Comedy|Drama|Romance"	"English"	"USA"	"R"	95	1.85	NA	NA	"Chris D'Arienzo"	"Judy Greer"	"Cybill Shepherd"	"Shea Whigham"	7	2000	536	463	3648	480	2	3443	20	34	5.9
"Beginners "	2010	"Comedy|Drama|Romance"	"English"	"USA"	"R"	105	1.85	3200000	5776314	"Mike Mills"	"Goran Visnjic"	"Lou Taylor Pucci"	"Mary Page Keller"	101	1000	394	157	2016	15000	4	73349	142	261	7.2
"Beneath Hill 60 "	2010	"Drama|History|War"	"English"	"Australia"	"R"	122	2.35	9e+06	NA	"Jeremy Sims"	"Harrison Gilbertson"	"Gyton Grantley"	"Steve Le Marquand"	8	174	109	59	498	0	12	5741	39	17	7.1
"Beyond the Black Rainbow "	2010	"Sci-Fi|Thriller"	"English"	"Canada"	"R"	110	2.35	1100000	56129	"Panos Cosmatos"	"Chris Gauthier"	"Marilyn Norry"	"Eva Bourne"	22	434	95	48	645	0	1	6555	82	97	6.1
"Biutiful "	2010	"Drama"	"Spanish"	"Mexico"	"R"	148	2.35	NA	5100937	"Alejandro G. Iñárritu"	"Maricel Álvarez"	"Hanaa Bouchaib"	"Eduard Fernández"	0	30	9	7	50	29000	0	68885	127	288	7.5
"Black Swan "	2010	"Drama|Thriller"	"English"	"USA"	"R"	108	2.35	1.3e+07	106952327	"Darren Aronofsky"	"Natalie Portman"	"Mila Kunis"	"Mark Margolis"	0	20000	15000	1000	38072	106000	1	551363	1140	669	8
"Blood Done Sign My Name "	2010	"Drama"	"English"	"USA"	"PG-13"	128	2.35	NA	82739	"Jeb Stuart"	"Ricky Schroder"	"Nate Parker"	"Lee Norris"	11	665	664	553	4579	503	0	465	3	20	6.7
"Blue Valentine "	2010	"Drama|Romance"	"English"	"USA"	"R"	112	1.66	3500000	9701559	"Derek Cianfrance"	"Ryan Gosling"	"Mike Vogel"	"John Doman"	310	33000	2000	616	35941	25000	0	141425	283	377	7.4
"Brighton Rock "	2010	"Crime|Drama|Thriller"	"English"	"UK"	"R"	111	2.35	1.2e+07	NA	"Rowan Joffe"	"Sam Riley"	"Sean Harris"	"Geoff Bell"	17	845	641	405	3117	0	2	5013	59	136	5.7
"Buried "	2010	"Drama|Mystery|Thriller"	"English"	"Spain"	"R"	95	2.35	3e+06	1028658	"Rodrigo Cortés"	"Ryan Reynolds"	"Samantha Mathis"	"Erik Palladino"	89	16000	517	263	17471	24000	0	118684	447	363	7
"Burlesque "	2010	"Drama|Music|Musical|Romance"	"English"	"USA"	"PG-13"	119	2.35	5.5e+07	39440655	"Steve Antin"	"Eric Dane"	"Peter Gallagher"	"David Walton"	59	2000	828	676	4315	19000	1	61680	222	197	6.4
"Ca$h "	2010	"Comedy|Crime|Thriller"	"English"	"USA"	"R"	118	1.85	7e+06	46451	"Stephen Milburn Anderson"	"Chris Hemsworth"	"Mike Starr"	"Paul Sanchez"	0	26000	854	410	27756	694	2	7663	38	27	6
"Casino Jack "	2010	"Biography|Comedy|Crime|Drama"	"English"	"Canada"	"R"	108	2.35	1.5e+07	1039869	"George Hickenlooper"	"Kevin Spacey"	"Eric Schweig"	"Christian Campbell"	60	18000	322	168	18739	0	5	14757	51	117	6.2
"Cats & Dogs: The Revenge of Kitty Galore "	2010	"Action|Comedy|Family|Fantasy"	"English"	"USA"	"PG"	82	1.85	8.5e+07	43575716	"Brad Peyton"	"Jack McBrayer"	"Sean Hayes"	"Katt Williams"	62	975	760	615	3326	0	0	10233	63	91	4.3
"Centurion "	2010	"Action|Adventure|Drama|History|Thriller|War"	"English"	"UK"	"R"	97	2.35	NA	122288	"Neil Marshall"	"Michael Fassbender"	"JJ Feild"	"Dave Legeno"	197	13000	794	570	15293	0	0	64777	201	195	6.4
"Charlie St. Cloud "	2010	"Drama|Fantasy|Romance"	"English"	"USA"	"PG-13"	99	2.35	4.4e+07	31136950	"Burr Steers"	"Augustus Prew"	"Charlie Tahan"	"Valerie Tian"	23	405	268	135	1066	0	1	47364	75	117	6.5
"Christmas Mail "	2010	"Comedy|Drama|Family|Romance"	"English"	"USA"	"TV-PG"	89	NA	2500000	NA	"John Murlowski"	"Ashley Scott"	"Piper Mackenzie Harris"	"Lochlyn Munro"	20	794	607	555	2579	190	2	858	7	2	5.8
"Clash of the Titans "	2010	"Action|Adventure|Fantasy"	"English"	"USA"	"PG-13"	106	2.35	1.25e+08	163192114	"Louis Leterrier"	"Liam Neeson"	"Jason Flemyng"	"Alexa Davalos"	255	14000	1000	850	18003	15000	0	229679	637	344	5.8
"Clash of the Titans "	2010	"Action|Adventure|Fantasy"	"English"	"USA"	"PG-13"	106	2.35	1.25e+08	163192114	"Louis Leterrier"	"Liam Neeson"	"Jason Flemyng"	"Alexa Davalos"	255	14000	1000	850	18003	15000	0	229687	637	344	5.8
"Cop Out "	2010	"Action|Comedy|Crime"	"English"	"USA"	"R"	107	2.35	3.7e+07	44867349	"Kevin Smith"	"Bruce Willis"	"Tracy Morgan"	"Kevin Pollak"	0	13000	642	574	14483	0	2	75347	176	203	5.6
"Country Strong "	2010	"Drama|Music"	"English"	"Official site"	"PG-13"	117	2.35	1.5e+07	20218921	"Shana Feste"	"Leighton Meester"	"Cinda McCain"	"Tim McGraw"	19	3000	646	461	4204	0	4	14814	114	135	6.3
"Cyrus "	2010	"Comedy|Drama|Romance"	"English"	"USA"	"R"	91	1.85	7e+06	7455447	"Jay Duplass"	"Matt Walsh"	"Tim Guinee"	"Katie Aselton"	157	490	259	224	1136	0	2	29967	126	223	6.3
"Date Night "	2010	"Comedy|Crime|Romance|Thriller"	"English"	"USA"	"PG-13"	101	2.35	5.5e+07	98711404	"Shawn Levy"	"Mila Kunis"	"James Franco"	"Steve Carell"	189	15000	11000	7000	39822	0	2	127571	207	247	6.3
"Dear John "	2010	"Drama|Romance|War"	"English"	"USA"	"PG-13"	108	2.35	2.5e+07	80014842	"Lasse Hallström"	"Channing Tatum"	"Henry Thomas"	"Scott Porter"	529	17000	861	690	19945	14000	NA	104356	186	162	6.3
"Death Calls "	2010	"Action|Adventure|Mystery|Romance|Thriller"	"English"	"USA"	"R"	90	1.85	290000	NA	"Ken Del Conte"	"Hector Echavarria"	"Robert Miano"	"Ron Roggé"	2	466	216	99	842	16	2	30	NA	NA	4.3
"Despicable Me "	2010	"Animation|Comedy|Family"	"English"	"USA"	"PG"	87	1.85	6.9e+07	251501645	"Pierre Coffin"	"Steve Carell"	"Miranda Cosgrove"	"Jack McBrayer"	275	7000	2000	975	11608	31000	0	385943	296	304	7.7
"Devil "	2010	"Horror|Mystery|Thriller"	"English"	"USA"	"PG-13"	80	2.35	1e+07	33583175	"John Erick Dowdle"	"Bojana Novakovic"	"Bokeem Woodbine"	"Geoffrey Arend"	66	2000	904	816	5628	16000	0	104089	319	273	6.3
"Diary of a Wimpy Kid "	2010	"Comedy|Family"	"English"	"USA"	"PG"	94	1.85	1.5e+07	64001297	"Thor Freudenthal"	"Chloë Grace Moretz"	"Zachary Gordon"	"Rachael Harris"	87	17000	975	569	20154	0	1	32002	103	111	6.2
"Dinner for Schmucks "	2010	"Comedy"	"English"	"USA"	"PG-13"	114	1.85	NA	72980108	"Jay Roach"	"Steve Carell"	"Stephanie Szostak"	"Bruce Greenwood"	116	7000	1000	982	10419	0	2	80338	264	190	5.9
"Don't Be Afraid of the Dark "	2010	"Fantasy|Horror|Thriller"	"English"	"USA"	"R"	99	1.85	2.5e+07	24042490	"Troy Nixey"	"Bailee Madison"	"Alan Dale"	"Jack Thompson"	24	3000	441	155	3744	10000	1	40776	250	298	5.6
"Due Date "	2010	"Comedy|Drama"	"English"	"USA"	"R"	95	2.35	6.5e+07	100448498	"Todd Phillips"	"Robert Downey Jr."	"RZA"	"Matt Walsh"	480	21000	561	490	23018	25000	3	272789	285	307	6.6
"Dylan Dog: Dead of Night "	2010	"Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller"	"English"	"USA"	"PG-13"	107	2.35	2e+07	1183354	"Kevin Munroe"	"Marco St. John"	"Laura Spencer"	"Anita Briem"	14	403	368	311	1577	0	1	13026	75	138	5.1
"Easy A "	2010	"Comedy|Romance"	"English"	"USA"	"PG-13"	92	1.85	8e+06	58401464	"Will Gluck"	"Emma Stone"	"Dan Byrd"	"Fred Armisen"	87	15000	1000	424	16982	19000	1	276746	264	262	7.1
"Easy Money "	2010	"Action|Crime|Drama|Thriller"	"Swedish"	"Sweden"	"R"	124	2.35	NA	188870	"Daniel Espinosa"	"Fabian Bolin"	"Fares Fares"	"Matias Varela"	79	309	254	93	857	0	1	13443	25	90	6.7
"Eat Pray Love "	2010	"Drama|Romance"	"English"	"USA"	"PG-13"	140	1.85	6e+07	80574010	"Ryan Murphy"	"James Franco"	"Julia Roberts"	"Billy Crudup"	708	11000	8000	745	20440	26000	1	63493	302	213	5.7
"Edge of Darkness "	2010	"Crime|Drama|Mystery|Thriller"	"English"	"UK"	"R"	117	2.35	8e+07	43290977	"Martin Campbell"	"Bojana Novakovic"	"Ray Winstone"	"Denis O'Hare"	258	2000	1000	896	7053	0	1	75201	256	258	6.6
"Everything Must Go "	2010	"Comedy|Drama"	"English"	"USA"	"R"	97	2.35	5e+06	2711210	"Dan Rush"	"Will Ferrell"	"Scott Takeda"	"Stephen Root"	7	8000	981	939	10517	0	1	40305	86	155	6.4
"Extraordinary Measures "	2010	"Drama"	"English"	"USA"	"PG"	106	1.85	3.1e+07	11854694	"Tom Vaughan"	"Harrison Ford"	"Brendan Fraser"	"Alan Ruck"	12	11000	3000	946	17560	0	2	14281	64	126	6.5
"Fair Game "	2010	"Biography|Drama|Thriller"	"English"	"USA"	"PG-13"	108	2.35	2.2e+07	9528092	"Doug Liman"	"Naomi Watts"	"Ty Burrell"	"Brooke Smith"	218	6000	3000	405	10191	9000	2	38513	127	214	6.8
"Faster "	2010	"Action|Crime|Drama|Thriller"	"English"	"USA"	"R"	98	2.35	2.4e+07	23225911	"George Tillman Jr."	"Dwayne Johnson"	"Tom Berenger"	"Mike Epps"	88	12000	854	706	14699	12000	1	80574	157	196	6.5
"Fat, Sick & Nearly Dead "	2010	"Documentary"	"English"	"Australia"	NA	97	NA	2500000	NA	"Joe Cross"	"Joe Cross"	"Joel Fuhrman"	"Amy Badberg"	65	65	2	0	67	10000	2	6429	25	13	7.6
"Flipped "	2010	"Comedy|Drama|Romance"	"English"	"USA"	"PG"	90	1.85	1.4e+07	1752214	"Rob Reiner"	"Madeline Carroll"	"Rebecca De Mornay"	"Aidan Quinn"	0	1000	872	767	4377	14000	0	60460	104	87	7.7
"For Colored Girls "	2010	"Drama"	"English"	"USA"	"R"	133	1.85	NA	37721949	"Tyler Perry"	"Omari Hardwick"	"Loretta Devine"	"Kimberly Elise"	0	1000	912	637	6035	0	0	6067	73	75	6
"Four Lions "	2010	"Comedy|Crime|Drama"	"English"	"UK"	"R"	97	1.85	NA	304137	"Christopher Morris"	"Kayvan Novak"	"Riz Ahmed"	"Alex Macqueen"	69	414	365	106	1269	17000	0	55982	148	246	7.3
"Freakonomics "	2010	"Documentary"	"English"	"USA"	"PG-13"	93	NA	3e+06	100675	"Heidi Ewing"	"Greg Crowe"	"James Ransone"	"Tempestt Bledsoe"	4	875	412	394	2305	0	0	5695	23	73	6.4
"From Paris with Love "	2010	"Action|Thriller"	"English"	"France"	"R"	92	2.35	5.2e+07	23324666	"Pierre Morel"	"Kasia Smutniak"	"Amber Rose Revah"	"Rebecca Dayan"	180	211	135	75	488	0	1	97775	211	203	6.5
"Furry Vengeance "	2010	"Comedy|Family"	"English"	"USA"	"PG"	92	1.85	3.5e+07	17596256	"Roger Kumble"	"Brendan Fraser"	"Brooke Shields"	"Matt Prokop"	16	3000	1000	734	6327	0	1	12399	84	101	3.8
"Get Him to the Greek "	2010	"Comedy|Music"	"English"	"USA"	"R"	114	1.85	NA	60923325	"Nicholas Stoller"	"Pink"	"Mario Lopez"	"Lino Facioli"	89	836	719	177	2091	12000	2	147317	197	222	6.4
"Going the Distance "	2010	"Comedy|Romance"	"English"	"USA"	"R"	102	2.35	3.2e+07	17797316	"Nanette Burstein"	"Rob Riggle"	"Kelli Garner"	"Jim Gaffigan"	8	839	730	472	2961	0	0	50523	113	167	6.3
"Good Intentions "	2010	"Comedy"	"English"	"USA"	"PG-13"	84	NA	1e+07	NA	"Jim Issa"	"Elaine Hendrix"	"Luke Perry"	"Jon Gries"	5	670	608	482	2739	119	5	553	3	4	5.2
